,Bill,Title,title
33,SB 791,Relating To Health And Safety - Licensing Of Health Care Facilities,"An Act Relating To Health And Safety -- Licensing Of Health Care Facilities (Requires The Department Of Health To Promulgate Rules And Regulations By January 1, 2022 For The Licensing And Operation Of Health Centers Operating In Elementary And Secondary Schools.)"
34,SB 872,Relating To Health And Safety – Transportation Emissions And Mobile,An Act Relating To Health And Safety -- Transportation Emissions And Mobile (Team) Community Act (Establishes The Transportation Emission And Mobile (Team) Community Act Intended To Limit And Reduce Indirect Carbon Dioxide Emissions Throughout The State While Promoting The Purposes Of The Transportation Climate Initiative Program.)
35,SB 2063,Relating To Taxation - Personal Income Tax - Military Retirement,"An Act Relating To Taxation -- Personal Income Tax -- Military Retirement (Excludes For The Purposes Of Rhode Island State Income Taxes, The First $25,000 Of Eligible Military Retirement Income, Paid By The State Or Federal Government To Persons 60 Years Or Older Received In The 2023 Tax Year, And Thereafter.)"
36,SB 2068,Relating To Taxation - Sales And Use Taxes - Liability And,"An Act Relating To Taxation -- Sales And Use Taxes -- Liability And Computation (Exempts From The Sales And Use Tax That Portion Of A Motor Vehicle Lease Payment Collected For Tangible Personal Property Tax, Municipal Property Tax, Excise, Or Any Other Similar Tax.)"
37,SB 2073,Relating To State Affairs And Government – Office Of Health And,An Act Relating To State Affairs And Government -- Office Of Health And Human Services (Raises Rhode Island Medicaid Primary Care Payment Rates To Not Less Than Federal Medicare Rates For The Same Service.)
38,SB 2102,Relating To Health And Safety – Licensing Of Healthcare Facilities –,An Act Relating To Health And Safety -- Licensing Of Healthcare Facilities -- The Hospital Conversions Act (Repeals Health Services Council And Expands The Health Services And Amends Several Provisions Relative To The Review Process Of The Hospital Conversion Act Pertaining To Maintenance Of Services And Required Disclosures.)
39,SB 2107,Relating To Motor And Other Vehicles – Parking Facilities And,An Act Relating To Motor And Other Vehicles -- Parking Facilities And Privileges -- Disability Parking (Includes The Governor’S Commission On Disabilities On The Decision Making Process For The Disability Parking Enforcement Enhancement Program And Require An Annual Report Be Submitted To The Governor’S Commission.)
40,SB 2181,Relating To Waters And Navigation -- Damages From Milldams -- The,"An Act Relating To Waters And Navigation -- Dam Permits (Requires That Any Person Operating Or Owning A Dam With A Storage Capacity Greater Than One Thousand Four Hundred (1,400) Normal Storage Acre Feet Of Water To Obtain A Permit From The Director Of The Dem To Raise Or Lower The Water Level Behind The Dam.)"
41,SB 2193,Relating To Health And Safety – Rights Of Nursing Home Patients,An Act Relating To Health And Safety -- Rights Of Nursing Home Patients (Requires The Department Of Health To Promulgate Rules And Regulations To Determine Whether A Nursing Home Facility Shall Be Granted An Exception From The Minimum Staffing Level Requirements.)
42,SB 2196,Relating To Human Services – Medical Assistance,An Act Relating To Human Services -- Medical Assistance (Increases Eligibility For The Three (3) Federal Medicare Savings Programs And Eliminates The Asset Test For These Programs.)
43,SB 2204,Relating To Food And Drugs - Uniform Control Substances Act,An Act Relating To Food And Drugs -- Uniform Control Substances Act (Requires That Professionals Authorized To Prescribe Opioid Drugs Discuss Addiction Risks With The Patient Or The Patient’S Parent Or Guardian If The Patient Is Under Eighteen (18) Years Of Age.)
44,SB 2214,Relating To Property – Residential Landlord Tenant Act – Housing,An Act Relating To Property -- Residential Landlord Tenant Act -- Housing Payment Stability Act (Requires Landlords To Complete The Landlord Portion Of An Application For Federal Emergency Rental Assistance Before Starting An Action For Eviction Against A Residential Tenant For Nonpayment Of Rent.)
45,SB 2293,Relating To Waters And Navigation – The Ocean State Climate,An Act Relating To Waters And Navigation -- The Ocean State Climate Adaption And Resilience Fund (Imposes An Adaption Fee On Every Barrel Of Petroleum Products And Asphalt Products Received At A Marine Terminal Within This State.)
46,SB 2295,Relating To Waters And Navigation – Inspection Of Dams And,An Act Relating To Waters And Navigation -- Inspection Of Dams And Reservoirs (Authorizes Dem To Assess Penalties For Non-Compliance With Emergency Plans For Significant/ High Hazard Dams With Dem/Ema Developing System To Issue Severe Weather Advisories/Watches/Warnings.)
47,SB 2315,Relating To Taxation – Property Subject To Taxation,"An Act Relating To Taxation -- Property Subject To Taxation (Provides That The Town Of Bristol Would Be Authorized To Exempt From Taxation, Or Otherwise Enter Into Payment In Lieu Of Tax Agreements Regarding Property In The Town Of Bristol Of Qualifying Nonprofit, Charitable Organizations.)"
48,SB 2318,Relating To Pbulic Property And Works -- State Purchases,An Act Relating To Public Property And Works -- State Purchases (Includes Seafood Landed In Rhode Island Among The Items That Purchasing Agents For State Institutions Are Directed To Purchase At Prevailing Market Prices If Available.)
49,SB 2337,Relating To Public Utilities And Carriers - Transportation,An Act Relating To Public Utilities And Carriers  - Transportation Investment And Debt Protection Act Of 2011 (Authorizes The Rhode Island Public Transit Authority'S Coordinating Council To Develop A Pilot Program To Address The Needs Of Disabled Individuals Whose Disability Prevents Independent Use Of A Fixed Route System.)
50,SB 2342,Relating To Taxation – Levy And Assessment Of Local Taxes,An Act Relating To Taxation -- Levy And Assessment Of Local Taxes (Allows The Town Of Middletown To Adopt A New The Tax Classification Plan To Provide Property Tax Relief To Its Residents.)
51,SB 2346,Relating To Taxation – Property Subject To Taxation,"An Act Relating To Taxation -- Property Subject To Taxation (Exempts From Taxation The Real And Tangible Personal Property Of American Legion Riverside Post Holding Company, D/B/A American Legion Post 10, Located In East Providence.)"
52,SB 2358,Relating To Insurance – Self-service Storage Insurance,"An Act Relating To Insurance -- Self-Service Storage Insurance (Allows For The Sale Of Self-Service Storage Insurance And Declares That The Sale, Solicitation Or Offer Of Self-Service Storage Insurance, As Defined, Does Not Require An Insurance Producer License.)"
53,SB 2373,Relating To Criminal Procedure – Sentence And Execution,An Act Relating To Criminal Procedure -- Sentence And Execution (Requires The Setting Of Bail For Defendants Coming Before The Court As Alleged Probation Violators.)
54,SB 2382,Relating To Delinquent And Dependent Children – Proceedings In,An Act Relating To Delinquent And Dependent Children -- Proceedings In Family Court (Prohibits Family Court From Detaining Or Committing Any Juvenile 14 At Training School Unless It Is For A Capital Offense And The Court Determines That Placement Is For Safety For Juvenile And General Public.)
55,SB 2430,Relating To Food And Drugs -- Rhode Island Cannabis Act,"An Act Relating To Food And Drugs -- The Rhode Island Cannabis Act (The Rhode Island Cannabis Act Legalizes Adult Use Of Cannabis. It Provides For Licensing Of Cultivation, Manufacture And Retail Sale Of Cannabis.)"
56,SB 2441,Relating To Education – Rights Of Parents And Guardians In Public,An Act Relating To Education -- Rights Of Parents And Guardians In Public Educational Institutions Act (Enables Parents To Review Public School Learning Materials/Object If The Parent Decides That The Material Is Harmful. Also A Parent May Withdraw Their Student From The Activity Or Class Where The Material Is Used And Request An Alternative Assignment.)
57,SB 2506,Relating To Domestic Relations – Divorce And Separation,"An Act Relating To Domestic Relations -- Divorce And Separation (Requires The Department Of Human Services, Office Of Child Support Services, To Provide Monthly Updates To All Obligees Of All Child Support Enforcement Efforts In Cases They Are Involved In.)"
58,SB 2531,Relating To Businesses And Professions – Solicitation By Charitable,An Act Relating To Health And Safety -- Feminine Hygiene Product Donation Act (Allows Feminine Hygiene Products To Be Donated By Businesses To Nonprofit Charities.)
59,SB 2546,Relating To Health And Safety – Maternal And Child Health Services,An Act Relating To Health And Safety -- Maternal And Child Health Services For Children With Special Health Care Needs (Directs The Executive Office Of Health And Human Services To Increase Medicaid Rates For The Early Intervention And First Connections Programs Allowing For Payment Of Competitive Wages For Qualified Professionals.)
60,SB 2548,Relating To Insurance - Accident And Sickness Insurance Policies,An Act Relating To Insurance -- Individual Health Insurance Coverage (Establishes A Special Enrollment Provision For Pregnant Women To Obtain Health Insurance Coverage At Any Time After The Commencement Of The Pregnancy.)
61,SB 2572,Relating To Education – Compulsory Attendance,"An Act Relating To Education -- Compulsory Attendance (Provides That In Developing Alternative-Learning Plans, Consideration Shall Be Given To The Difficulties And Interruptions Students Experience Because Of The Covid-19 Pandemic.)"
62,SB 2577,Relating To Education – Teachers’ Retirement [see Title 16 Chapter 97 –,An Act Relating To Education -- Teachers' Retirement (See Title 16 Chapter 97 -- The Rhode Island Board Of Education Act) (Increases The Maximum Amount Of Days A Retired Teacher And Athletic Coach May Substitute Teach From 90 Days To 120 Days.)
63,SB 2621,Relating To State Affairs And Government – Rhode Island Housing,An Act Relating To State Affairs And Government -- Rhode Island Housing Resources Act Of 1998 (Changes The Affordable Housing Eligibility Standards For Households In New Shoreham With Gross Household Income Of Less Than One Hundred And Forty Percent (140%) Of Area Median Income.)
64,SB 2623,Relating To Towns And Cities -- Zoning Ordinances -- Accessory,An Act Relating To Towns And Cities -- Zoning Ordinances (Eliminates The Restrictions On Accessory Dwelling Units And Allows For Accessory Apartments And Affordable Accessory Apartments As A Matter Of Right.)
65,SB 2627,Relating To Elections - Registration Of Voters,"An Act Relating To Elections -- Registration Of Voters (Increases Role Of The Dmv In The Voter Registration/Address Verification Process, By Imposing Specific/Comprehensive Obligations. Protects From Disclosure To Federal Government, Any Documents Produced, Pursuant To These New Voter Registration Procedures.)"
66,SB 2647,Relating To Criminal Offenses - Harassment,An Act Relating To Criminal Offenses -- Harassment (Creates A New Criminal Offense Of Harassment And Allow Victims To File For A Protective Order In District Court.)
67,SB 2651,Relating To Fish And Wildlife - Field Trials And Shooting Preserves –,An Act Relating To Fish And Wildlife - Field Trials And Shooting Preserves -- Captive Hunting Prohibited (Prohibits Captive Hunting For Domestic Or Wild Animals And Does Not Prohibit The Release Of Upland Game Birds For Hunting On Licensed Shooting Preserves.)
68,SB 2661,Relating To State Affairs And Government – Open Meetings,"An Act Relating To State Affairs And Government -- Open Meetings (Amends Open Meetings Act To Allow Public Bodies To Hold In Person, Virtual Or Hybrid Meetings, And Provide For Virtual Access In Cases Of A Virtual Or Hybrid Meeting. These Sections Would Expire On July 1, 2023.)"
69,SB 2667,Relating To Motor And Other Vehicles - Registration Of Commercial,An Act Relating To Motor And Other Vehicles -- Registration Of Vehicles -- Registration Of Commercial Fishing Vehicles (Requires The Division Of Motor Vehicles To Develop A Form For Registration Of And A License Plate For Commercial Fishing Motor Vehicles.)
70,SB 2703,"Relating To State Affairs And Government – Department Of Children,","An Act Relating To State Affairs And Government -- Department Of Children, Youth And Families (Establishes General Caseload Limits For Dcyf Workers Similar To Those Contained In The Council On Accreditation Standards.)"
71,SB 2717,Relating To Commercial Law -- General Regulatory Provisions -­,An Act Relating To Commercial Law -- General Regulatory Provisions -- Deceptive Trade Practices (Prohibits Certain Providers Of Digital Application Distribution Platforms From Requiring That Payments For The Software Application Be Made Exclusively Through A Particular In-Application Payment System.)
72,SB 2749,Relating To Motor And Other Vehicles - Pupil Transportation,"An Act Relating To Motor And Other Vehicles -- Pupil Transportation Vehicles (Amends The Definitions Of A ""Pupil Transportation Vehicle"" To Be And Constructed To Seat Not More Than Ten (10) Passengers Including The Operator, Rather Than The Existing Limit Of Eight (8) Passengers.)"
73,SB 2757,Relating To Taxation - Personal Income Tax,An Act Relating To Taxation -- Personal Income Tax (Uninsured For Health Care Taxpayer To Indicate On Return Whether They Consent To Being Contacted By Exchange.)
74,SB 2764,Relating To Businesses And Professions – License Procedure For,An Act Relating To Businesses And Professions -- License Procedure For Social Workers (Allows Individuals Who Have Received Their Masters Of Social Work From An Accredited College Or University Within The Past Two (2) Years To Practice Within The Field Prior To Obtaining A License.)
75,SB 2795,Relating To Criminal Procedure - Sentence And Execution,An Act Relating To Criminal Procedure -- Sentence And Execution (Permits The Doc To Release A Sentenced Inmate Up To 3 Days Early Directly To A Community Partner For Residential Treatment Or Stable Housing When Completion Of Sentence Is Incompatible With The Community Partners Staffing Or Scheduling Capabilities.)
76,SB 2803,Relating To Health And Safety - Vital Records,"An Act Relating To Health And Safety -- Vital Records (Adds The Division Of Taxation, Division Of Motor Vehicles And Department Of Revenue To Those Agencies Who Receive Lists Of Reported Deaths.)"
77,SB 2805,Relating To Taxation - State Tax Officials,"An Act Relating To Taxation -- State Tax Officials (Effective January 1, 2023, Creates Superior Court Jurisdiction Over All Appeals Of Tax Administrators Concerning Assessment, Deficiency, Refund Claim, License Or Permit. It Creates An Exemption For The Taxpayer From Prepayment As A Condition Precedent.)"
78,SB 2806,Relating To Insurance - Child Support Intercept Act,An Act Relating To Insurance -- Child Support Intercept Act (Expands Child Support Interception Of Insurance Payments To Include Life Insurance Proceeds Payable To Non-Custodial Parents Who Are Beneficiaries Of The Policy.)
79,SB 2816,Relating To Labor And Labor Relations -- Employment Security--,"An Act Relating To Labor And Labor Relations -- Employment Security -- General Provisions (Extends Until June 30, 2023, An Increase In The Total Amount Of Earnings A Partial-Unemployment Insurance Claimant Can Receive Before Being Entirely Disqualified For Unemployment Insurance Benefits.)"
80,SB 2819,Relating To State Affairs And Government - State Lottery - Lottery,An Act Relating To State Affairs And Government -- State Lottery--Lottery Sales Agent Renewal Period (Extends The Renewal Period For Lottery Sales Agent'S License From One Year To Two (2) Years.)
81,SB 2820,Relating To Motor And Other Vehicles - Registration Of Vehicles,"An Act Relating To Motor And Other Vehicles -- Registration Of Vehicles (Changes The Definition Of ""Street Rod"" Motor Vehicle To Reference Its Registration Certificate And Not Its Title. It Would Also Change The Meaning Of ""Custom Vehicle"" By Adding A Reference To Its Registration Certificate.)"
82,SB 2825,Relating To Criminal Offenses - Weapons,"An Act Relating To Criminal Offenses -- Weapons (Defines Rifle And Shotgun As Weapons And Makes It Unlawful To Possess A Loaded Rifle Or Shotgun In Public Subject To Various Exceptions Inclusive Of Hunting Activity Punishable Upon Conviction By Imprisonment Up To 5 Years Or A Fine Up To $5,000.)"
83,SB 2839,Relating To Towns And Cities - Health And Educational Building,"An Act Relating To Towns And Cities -- Health And Educational Building Corporation (Provides Municipalities In The State With Appropriate Additional Means To Improve The Health, Living Conditions, And Welfare Of Their Residents With Expanded Access To Public Educational, Or Child Daycare Centers, Or Public Recreational Facilities.)"
84,SB 2840,Relating To Education -- School Building Authority,"An Act Relating To Education -- Foundation Level School Support (Provides That School Construction Projects Approved After July 1, 2022, That Fail To Utilize A Project'S Architectural Services And Project Educational Design Services Would Only Be Eligible To Receive Five (5) Incentive Points.)"
85,SB 2843,Relating To Agriculture And Forestry -- Old Growth Forest,An Act Relating To State Affairs And Government -- Department Of Environmental Management (Creates State And Local Requirements For The Protection And Preservation Of Old Growth Forests Located On Public Lands.)
86,SB 2847,Relating To Human Services - The Rhode Island Works Program,An Act Relating To Human Services -- The Rhode Island Works Program (Allows Families To Continue To Receive State And Federal Tax Credits And Any Stimulus Funds Provided For The Well-Being Of Children Or Adults Without Jeopardizing The Family'S Ri Works Cash Benefit.)
87,SB 2849,Relating To Towns And Cities - State Aid,"An Act Relating To Towns And Cities -- State Aid (Amends The Computation Of Relative Wealth Of Municipalities For The Purpose Of Distributing State Aid By Eliminating The Requirement That Certain Exemptions Include Tax Treaties That Are Conditioned On Being In Force On May 15, 2005.)"
88,SB 2892,Relating To Taxation –- Personal Income Tax--capital Gains,"An Act Relating To Taxation -- Personal Income Tax--Capital Gains (Amends The Capital Gains Tax Rates And Holding Period From 5 Years To 1 Year. Imposes A Non-Owner Occupied Tax On Homes Assessed At More Than $1,000,000. Increases Estate Tax Exemption To $2,225,000.)"
89,SB 2910,Relating To Education - Curriculum,"An Act Relating To Education -- Curriculum (Requires All Public Elementary And Secondary Schools In Rhode Island To Provide At Least One Unit Of Instruction On Asian American, Native Hawaiian And Pacific Islander History And Culture.)"
90,SB 2926,Authorizing The State To Enter Into A Financing Agreement Relating,"An Act Authorizing The City Of Pawtucket To Issue Not To Exceed $330,000,000 General Obligation Bonds, Notes And Other Evidences Of Indebtedness To Finance The Acquisition, Construction, Improvement, Furnishing And Equipping Of A New High School And School Facilities And All Expenses Incident Thereto, Including But Not Limited To, Costs Of Design, Demolition, Athletic Fields, Landscaping And Parking, Subject To Approval Of State Housing Aid At A Reimbursement Rate Or State Share Ratio Of Not Less Than 83.7% For Expenditures Eligible For State Aid And Provided That The Authorization Shall Be Reduced By Any Grant Received From The School Building Authority Capital Fund (Authorizes The City Of Pawtucket To Issue Not More Than $330,000,000 General Obligation Bonds, Notes And Other Evidences Of Indebtedness To Finance The Acquisition, Construction, Improvement, Furnishing And Equipping Of A New High School.)"
91,SR 2941,"Proclaiming The Week Of May 15 Through May 21, 2022 To Be “national","Senate Resolution Proclaiming The Week Of May 15 Through May 21, 2022 To Be ""National Police Week"" In The State Of Rhode Island, In Remembrance Of All Police And Law Enforcement Officers Who Have Lost Their Lives In The Line Of Duty"
92,SB 2967,"Authorizing The City Of Pawtucket To Provide For The Construction,","An Act Authorizing The City Of Pawtucket To Provide For The  Construction, Renovation And Improvement, Repair, Alteration, Furnishing And Equipping Of Public Buildings In The City And Authorizing The Financing Thereof, Including The Issue Of Not  More Than $18,350,000 Bonds, Notes And Other Evidences Of  Indebtedness Therefor, To Fund The Capital Improvement  Program For The Two Fiscal Years 2024 And 2025 (Authorizes The City Of Pawtucket To Issue Not More Than $18,350,000 General Obligation Bonds, Notes And Other Evidences Of Indebtedness To Finance The Construction, Renovation, Improvement, Repair, Alteration, Furnishing And Equipping Of Public Buildings.)"
93,HB 5024,Authorizing The Exeter-west Greenwich Regional School District To,"An Act Authorizing The Exeter -- West Greenwich Regional School District To Issue Not To Exceed $17,840,000 General Obligation Bonds And Notes To Finance The Renovation, Rehabilitation, Improvement, Furnishing And Equipping Of Schools And School Facilities Throughout The District, Including, But Not Limited To, Auditorium And Classroom Improvements, Information Technology, Roofs, Floors, Heating, Ventilation, Air Conditioning, Electrical Systems, Playgrounds, Athletic Facilities, Parking And Safety Improvements, Provided That The Authorization Shall Be Reduced By The Amount Of Certain Grants Received From State Bond Proceeds, From The Rhode Island Department Of Education Or From The Rhode Island School Building Authority (Authorizes The Exeter-West Greenwich Regional School District To Issue General Obligation Bonds Not To Exceed $17,840,000 For School Improvements.)"
94,HB 5034,Relating To Domestic Relations - Solemnization Of Marriages,An Act Relating To Domestic Relations -- Solemnization Of Marriages (Allows The Governor To Designate Any Person To Solemnize A Marriage Within The State Of Rhode Island On A Particular Day And Within A Particular City Or Town.)
95,HB 5037,Relating To Health And Safety - Born-alive Infant Protection Act,An Act Relating To Health And Safety -- Born-Alive Infant Protection Act (Enacts The Born-Alive Infant Protection Act And Provide For The Duties And Obligations Of Medical Personnel In Certain Circumstances.)
